Policy Number,Age,Years of Driving Experience,Number of Vehicles,Gender,Married,Vehicle Age,Losses,Fuel_type_D,Income
196611,18,0,1,1,Married,11,520.6205018,0,25644.02509
185342,16,0,2,0,Married,11,520.5728419,0,25719.6421
146620,24,6,3,0,Married,8,520.4128953,0,25459.64477
136864,59,40,1,1,Single,1,520.1692747,0,25553.46373
155156,25,6,1,1,Single,15,520.1172483,0,25789.86242
121299,46,29,2,1,Married,3,519.9399947,0,25558.99974
139738,35,17,3,0,Single,2,519.9221783,0,25717.10892
159708,61,43,3,0,Married,3,519.7360058,0,25619.80029
159595,20,1,1,1,Single,12,519.6358893,0,25452.79447
147006,20,2,4,1,Single,14,519.3969085,0,25676.84543
101704,22,5,3,1,Single,14,519.3589465,0,25649.94733
187667,21,4,2,1,Single,10,519.3587409,0,25516.93705
139894,37,20,4,0,Single,9,519.2443029,0,25715.21515
122843,27,6,1,0,Single,2,519.1625522,0,25745.12761
151388,29,9,2,0,Single,10,519.1499283,0,25628.49642
178041,45,25,3,0,Single,6,519.1243411,0,25667.21706
103714,21,3,3,0,Single,14,519.0797905,0,25619.98953
171700,17,0,3,0,Married,12,519.0569181,0,25682.84591
100608,21,3,2,1,Married,8,518.8952396,0,25509.76198
139805,43,25,3,0,Single,1,518.8539379,0,25606.6969
152028,48,31,3,0,Single,6,518.8537848,0,25642.68924
122422,36,18,4,0,Single,4,518.8250552,0,25646.25276
120034,22,3,2,0,Married,8,518.8089458,0,25403.44729
178390,21,4,2,0,Single,14,518.7770254,0,25478.85127
188012,23,4,2,1,Single,14,518.588689,0,25400.43445
179804,40,20,2,0,Married,2,518.4711624,0,25661.55812
135362,18,1,2,0,Single,13,518.4613744,0,25629.06872
120976,35,18,2,1,Married,3,518.4082923,0,25625.41462
163324,22,5,1,1,Single,9,518.3756905,0,25612.78453
106788,47,28,2,0,Married,1,518.3633147,0,25642.16574
117762,60,43,4,1,Single,3,518.349276,0,25541.4638
111152,62,44,2,0,Single,8,518.2563145,0,25466.81573
126520,50,29,2,0,Single,11,518.1773009,0,25621.86505
164478,28,10,2,0,Single,9,518.1463703,0,25315.31852
125626,37,17,1,1,Married,3,518.1264247,0,25579.32124
122980,17,0,3,1,Single,3,518.0821154,0,25523.10577
158539,18,0,1,1,Single,13,518.0761387,0,25369.80694
121156,59,42,3,1,Married,0,518.0649303,0,25560.24652
145765,24,7,1,1,Single,6,518.0476289,0,25432.38145
113027,52,32,2,1,Married,1,517.9428444,0,25446.14222
186416,59,39,4,0,Single,7,517.8330859,0,25433.6543
111505,61,44,3,1,Married,2,517.8114409,0,25560.57205
173645,21,4,1,0,Single,14,517.8087863,0,25665.43932
161718,43,26,4,0,Married,4,517.8031515,0,25370.15758
155836,18,0,2,1,Single,15,517.8020413,0,25383.10207
156477,24,5,3,0,Married,8,517.7877526,0,25555.38763
158905,42,21,4,1,Married,4,517.7582409,0,25670.91205
188013,44,27,4,1,Single,4,517.716189,0,25358.80945
118001,46,26,1,1,Married,0,517.6533908,0,25425.66954
134471,35,17,1,1,Married,4,517.6154431,0,25379.77216
153906,32,12,3,1,Single,3,517.531517,0,25499.57585
103001,20,2,4,0,Married,6,517.381102,0,25653.0551
143561,38,20,1,0,Single,7,517.2833796,0,25334.16898
123419,56,36,2,1,Married,0,517.2785548,0,25315.92774
165592,22,5,3,1,Single,12,517.2495203,0,25593.47602
171213,44,23,1,1,Single,4,517.2484855,0,25642.42428
117962,19,0,1,1,Married,6,517.2311218,0,25606.55609
135039,48,29,1,1,Married,2,517.2279524,0,25485.39762
120373,53,32,1,1,Married,1,517.2034459,0,25319.1723
171444,57,39,3,0,Single,9,517.1821163,0,25377.10582
178888,64,43,3,0,Single,3,517.1569153,0,25595.84577
144467,30,12,3,0,Single,7,517.1248229,0,25283.24115
103606,41,22,1,0,Married,4,516.9890908,0,25560.45454
166433,37,16,2,0,Single,10,516.8995385,0,25626.97693
138096,44,24,3,1,Single,3,516.8704031,0,25636.52016
177475,16,0,1,1,Single,9,516.8054766,0,25454.27383
119389,54,36,1,1,Single,4,516.7950519,0,25270.7526
180169,35,18,3,0,Single,8,516.7643522,0,25629.21761
113517,23,6,3,1,Married,1,516.683386,0,25424.1693
196695,18,0,2,0,Single,12,516.6607639,0,25435.0382
189521,44,26,1,0,Single,2,516.6473229,0,25385.36615
109556,19,1,3,0,Married,15,516.6382649,0,25390.91325
168877,25,7,3,1,Single,14,516.6068537,0,25365.34269
135138,20,2,3,0,Married,14,516.6017866,0,25430.08933
152328,36,16,1,1,Married,1,516.5329848,0,25228.64924
148679,21,4,2,1,Single,7,516.4370055,0,25250.85028
118874,25,7,4,0,Married,7,516.216328,0,25384.8164
182396,36,15,2,0,Single,6,516.1114568,0,25535.57284
159663,24,6,1,1,Single,11,516.0790928,0,25208.95464
156028,27,6,3,0,Single,7,515.9986972,0,25216.93486
180780,51,32,4,0,Single,10,515.9404578,0,25394.02289
142073,16,0,3,0,Single,15,515.8698595,0,25511.49298
146273,30,13,4,1,Single,0,515.8469815,0,25308.34908
173181,42,22,4,0,Single,0,515.8336994,0,25372.68497
174466,61,42,4,0,Single,5,515.8096795,0,25402.48398
100308,38,21,3,0,Single,8,515.4679101,0,25262.39551
154480,17,0,3,0,Married,15,515.426578,0,25316.3289
171705,29,12,2,0,Married,3,515.4020847,0,25496.10424
126030,52,31,3,0,Married,5,515.0600561,0,25285.00281
126031,37,20,2,0,Single,6,515.0405076,0,25339.02538
186434,48,28,2,0,Single,8,514.9922298,0,25168.61149
177206,37,17,2,0,Single,9,514.8116374,0,25353.58187
148820,24,5,3,1,Single,14,514.7946934,0,25438.73467
171677,17,0,3,0,Married,15,514.7311087,0,25420.55544
155482,20,1,1,1,Single,12,514.7287257,0,25387.43629
138165,53,33,2,1,Single,1,514.7171097,0,25511.85549
196143,51,31,1,0,Married,0,514.6965606,0,25489.82803
100032,68,47,3,0,Married,2,514.643375,0,25417.16875
111170,57,39,3,0,Single,15,514.5581364,0,25400.90682
149102,19,0,1,1,Single,15,514.3464743,0,25365.32372
177191,33,13,3,0,Single,7,514.3160063,0,25200.80032
190100,16,0,3,0,Single,12,514.2703663,0,25229.51832
135112,51,32,4,0,Single,5,514.2654663,0,25433.27332
112951,53,33,4,0,Married,5,514.2234708,0,25158.17354
198747,41,24,1,0,Single,6,514.2098312,0,25369.49156
135988,16,0,2,0,Single,13,514.1504616,0,25192.52308
179439,67,49,4,0,Single,3,513.9254653,0,25149.27327
110555,26,5,1,0,Single,2,513.9091147,0,25103.45574
198408,22,3,2,0,Married,6,513.8630957,0,25322.15479
172391,30,11,1,0,Single,7,513.8387199,0,25420.936
142970,39,18,3,1,Married,0,513.8101821,0,25131.50911
131869,18,0,3,1,Single,13,513.7467041,0,25143.33521
166968,52,34,1,1,Single,6,513.7114819,0,25180.5741
121216,19,2,2,0,Married,13,513.4584495,0,25413.92248
158249,38,20,2,0,Married,3,513.4092655,0,25451.46328
113051,17,0,2,0,Married,14,513.3606865,0,25084.03433
137912,17,0,3,1,Single,9,513.3529081,0,25424.64541
166046,55,36,3,1,Single,8,513.3494544,0,25120.47272
123667,52,34,2,1,Married,4,513.308942,0,25395.4471
156872,32,12,2,0,Single,7,513.061039,0,25112.05195
147832,41,22,4,1,Single,3,513.0333792,0,25426.66896
120901,50,31,4,1,Single,10,513.03153,0,25357.5765
115142,25,6,1,0,Single,14,512.9049801,0,25317.24901
109084,55,36,2,1,Married,0,512.8732401,0,25383.66201
156019,51,34,4,0,Single,7,512.8579436,0,25275.89718
158875,23,4,1,0,Married,14,512.8447128,0,25172.23564
190848,19,0,3,0,Single,13,512.7732665,0,25299.66333
155514,47,27,4,1,Single,7,512.7147153,0,25271.73577
188991,28,8,3,0,Single,8,512.6005403,0,25291.02702
195376,43,23,2,1,Married,1,512.4255573,0,25225.27787
127905,23,4,3,1,Married,1,512.2381967,0,25200.90984
133108,39,21,3,0,Single,7,512.1963882,0,25295.81941
166014,19,0,3,0,Married,14,512.1920681,0,25311.60341
125364,20,1,1,0,Married,6,512.1821988,0,25262.10994
147414,52,31,1,1,Married,5,511.9886291,0,25021.43146
189634,47,26,3,0,Married,5,511.9737592,0,25119.68796
132480,56,39,3,0,Single,10,511.9265755,0,25059.32878
166232,31,14,1,0,Married,2,511.7580432,0,25187.90216
189773,16,0,1,0,Married,14,511.7329733,0,25035.64867
160621,46,28,1,0,Married,3,511.7252723,0,25373.26362
126059,19,0,2,0,Single,12,511.7228049,0,25166.14025
102183,51,31,2,0,Single,5,511.6676298,0,25267.38149
123415,38,21,3,0,Single,8,511.628823,0,25245.44115
199205,54,35,2,0,Single,10,511.6047185,0,25354.23593
196028,25,6,3,1,Single,13,511.5813257,0,25247.06629
145884,17,0,4,0,Married,7,511.5249382,0,25041.24691
175816,32,15,1,0,Single,0,511.4659889,0,25304.29945
195518,47,28,2,1,Married,5,511.4521387,0,25170.60694
140147,17,0,1,1,Single,12,511.3999351,0,25226.99676
110585,50,32,4,0,Single,10,511.3851929,0,25241.25965
166875,35,18,2,0,Single,7,511.3257622,0,24993.28811
151488,61,44,3,0,Single,2,511.3069738,0,25263.34869
136275,27,6,1,0,Married,5,511.235708,0,25350.7854
128335,23,4,3,0,Married,14,511.201805,0,24963.09025
127811,24,7,1,1,Single,15,511.193896,0,25260.6948
153983,67,47,2,1,Single,4,511.0969097,0,25032.84549
198827,25,6,3,1,Married,9,510.886715,0,25169.33575
165527,35,18,2,0,Single,9,510.6502619,0,25140.5131
101465,25,7,3,0,Single,12,510.5356987,0,25202.78494
179573,51,31,2,1,Married,3,510.472611,0,25270.63055
129990,56,36,2,0,Single,8,510.3591905,0,25006.95953
122527,19,1,1,0,Married,13,510.3590398,0,25093.95199
154645,68,48,3,0,Single,3,510.2800031,0,25298.00016
171930,48,31,1,0,Single,2,510.2678438,0,25110.39219
193224,28,9,2,0,Single,6,510.2597547,0,25204.98774
134841,59,38,4,0,Single,9,510.2355171,0,24933.77586
120156,58,41,2,0,Single,7,510.2294704,0,24950.47352
126568,19,0,2,1,Single,14,509.9011956,0,24897.05978
177375,68,50,2,0,Single,4,509.8965713,0,25163.82857
142384,16,0,3,0,Married,9,509.7677548,0,25125.38774
137959,25,6,2,0,Single,12,509.6212314,0,25261.06157
119658,33,16,2,0,Single,9,509.6045066,0,25148.22533
141569,57,37,4,0,Single,7,509.5510796,0,25258.55398
194623,55,35,2,0,Single,9,509.4627758,0,25123.13879
156485,31,14,2,1,Married,1,509.4617109,0,25101.08555
127222,30,12,2,1,Married,2,509.4519769,0,24887.59885
184025,63,46,2,0,Single,3,509.4245965,0,25233.22983
128416,20,2,2,0,Single,14,509.3897629,0,24906.48815
118796,25,7,4,1,Married,3,509.3772513,0,24986.86257
125089,48,31,2,0,Single,8,509.3666843,0,25218.33422
172870,56,38,3,0,Single,8,509.3638436,0,25138.19218
127117,18,0,1,0,Married,12,509.1766552,0,25118.83276
192220,55,34,1,0,Single,12,509.1345942,0,24995.72971
102912,23,5,2,0,Married,13,509.1251757,0,24924.25879
166836,29,11,1,1,Single,0,509.0594248,0,25084.97124
105045,58,41,3,0,Single,7,508.9858737,0,25083.29369
131219,49,29,2,1,Single,1,508.6189206,0,25142.94603
191073,35,16,2,1,Married,5,508.5575122,0,25218.87561
174772,16,0,2,0,Single,14,508.5325412,0,25222.62706
128625,32,13,4,0,Single,10,508.4851291,0,24829.25646
175646,43,22,3,0,Single,5,508.3812419,0,24884.0621
193193,49,31,1,0,Married,3,508.3393905,0,25075.96953
140197,19,0,4,0,Married,15,508.3261896,0,24976.30948
145461,48,29,4,1,Married,2,508.2982535,0,25012.91268
154426,21,3,3,0,Married,13,508.1753085,0,25090.76543
168914,22,3,3,0,Married,3,507.9072134,0,25035.36067
186623,52,33,2,0,Single,7,507.8694992,0,25111.47496
163791,25,8,2,0,Married,13,507.5708927,0,25171.54464
187137,34,17,3,0,Single,13,507.4618644,0,25167.09322
182918,44,24,1,0,Single,10,507.3039313,0,24813.19657
174405,18,0,3,0,Married,12,507.2981493,0,24891.90747
198462,25,8,2,1,Single,14,507.1576806,0,25089.88403
173426,28,8,2,0,Married,3,506.9298049,0,25114.49025
115395,38,19,2,0,Married,0,506.922688,0,24766.1344
161868,17,0,3,1,Married,2,506.9099905,0,24990.49953
188060,55,34,3,0,Single,8,506.8969568,0,25075.84784
191104,57,39,2,0,Single,2,506.7966527,0,24971.83264
175866,43,25,2,1,Married,3,506.7637966,0,24921.18983
181044,47,28,3,1,Married,5,506.6747288,0,24767.73644
102155,32,14,3,1,Married,1,506.6642713,0,24881.21357
176858,57,38,2,0,Married,5,506.5945122,0,24851.72561
187062,16,0,2,0,Married,2,506.5618893,0,24756.09447
131870,27,9,2,0,Single,11,506.5426469,0,24819.13235
113593,50,33,4,0,Single,11,506.5247959,0,24948.2398
194747,42,22,3,1,Single,5,506.4480532,0,24853.40266
157166,17,0,3,0,Married,7,506.4295787,0,25100.47894
165461,34,16,1,1,Married,5,506.4191291,0,24862.95646
121451,35,14,2,1,Married,3,506.3626082,0,24745.13041
182881,19,2,3,1,Single,11,506.3021724,0,25078.10862
109721,21,2,2,1,Single,15,506.2082003,0,24909.41002
174283,29,9,4,0,Single,7,505.8833102,0,24800.16551
110141,68,51,3,0,Married,2,505.8732548,0,24961.66274
176183,27,8,2,0,Single,10,505.7678196,0,25005.39098
155059,66,45,4,1,Single,1,505.5540679,0,25004.7034
180380,52,33,1,0,Single,7,505.4161096,0,24826.80548
171454,43,22,3,1,Married,1,505.324672,0,24689.2336
136851,70,49,3,1,Single,0,505.3069656,0,24962.34828
180062,44,25,3,0,Married,2,505.2710024,0,25021.55012
192290,25,8,2,0,Single,11,505.2605779,0,24704.0289
183441,34,13,3,0,Single,8,505.2486386,0,24697.43193
182805,46,26,4,0,Single,9,505.1093518,0,24743.46759
145342,21,2,3,1,Single,12,504.9550731,0,24921.75366
173255,46,27,4,1,Single,10,504.8856084,0,24721.28042
193102,19,2,3,0,Single,15,504.8639467,0,25036.19734
169030,21,2,2,0,Single,13,504.8449361,0,24651.24681
116427,32,15,3,0,Married,1,504.8083705,0,24723.41853
166434,53,34,2,0,Single,6,504.6687082,0,24676.43541
173463,52,35,2,1,Married,1,504.5877345,0,24979.38673
120443,38,19,3,0,Single,7,504.547965,0,24736.39825
160006,54,37,2,0,Single,14,504.3927277,0,24806.63639
146277,34,14,2,0,Single,10,504.3764517,0,25005.82259
177154,57,38,2,0,Single,10,504.3286737,0,24907.43369
165495,56,39,2,0,Single,6,504.3038973,0,24748.19487
118922,54,33,3,0,Single,7,504.28471,0,24915.2355
121810,37,20,4,1,Married,1,504.2440072,0,24715.20036
192994,52,34,2,1,Single,2,504.1945897,0,24630.72949
185260,26,6,4,0,Single,7,504.1454866,0,24782.27433
148617,44,25,2,1,Married,0,504.0314278,0,24925.57139
100949,38,19,2,1,Single,2,503.8319877,0,24729.59939
149570,48,28,2,0,Single,9,503.8264386,0,24645.32193
128399,64,46,3,1,Single,0,503.8090316,0,24848.45158
112313,24,5,3,1,Single,11,503.7813256,0,24841.06628
151556,21,2,4,0,Married,11,503.7421438,0,24951.10719
106265,45,26,4,1,Single,1,503.6657596,0,24796.28798
169892,23,4,3,0,Married,14,503.6588735,0,24967.94368
106602,24,6,3,1,Single,14,503.5861299,0,24783.3065
120439,32,13,2,0,Single,4,503.5517722,0,24845.58861
143333,21,2,4,1,Single,13,503.5175373,0,24599.87687
118078,34,15,3,0,Single,7,503.4558814,0,24914.79407
124862,43,23,3,1,Married,0,503.3990749,0,24591.95375
124401,40,19,1,0,Single,8,503.3720137,0,24678.60069
144549,19,1,3,1,Single,13,503.3603026,0,24945.01513
109715,33,15,4,0,Married,2,503.3392623,0,24786.96312
119219,35,15,3,1,Married,2,503.1992237,0,24770.96119
180117,16,0,3,1,Single,12,503.171863,0,24799.59315
183239,18,1,4,1,Single,13,503.1516614,0,24658.58307
164123,25,8,1,1,Married,6,503.1421534,0,24933.10767
141433,36,15,3,0,Single,10,503.1180735,0,24662.90368
103743,23,6,2,1,Single,8,503.0672471,0,24562.36236
183996,53,34,1,1,Married,1,503.0542024,0,24780.71012
136359,20,3,1,1,Married,3,503.0228692,0,24658.14346
164738,18,1,3,1,Single,12,502.9435603,0,24731.17802
124859,51,33,2,0,Single,0,502.9362785,0,24564.81393
177437,38,21,4,1,Single,5,502.9167088,0,24809.83544
153031,23,5,4,0,Married,14,502.8963159,0,24801.8158
144878,48,28,4,0,Married,2,502.8923299,0,24738.6165
175249,31,13,1,1,Single,5,502.7124322,0,24560.62161
131412,16,0,4,0,Married,11,502.6916232,0,24811.58116
121949,16,0,2,1,Single,11,502.645551,0,24781.27755
153029,64,47,2,1,Single,1,502.643824,0,24827.1912
104070,40,20,1,0,Married,3,502.6195503,0,24861.97752
104307,16,0,1,1,Married,6,502.6132944,0,24703.66472
183975,32,11,3,1,Single,0,502.5834979,0,24771.1749
141436,20,3,2,0,Married,6,502.4378501,0,24675.89251
198147,22,3,3,1,Single,7,502.4354966,0,24706.77483
183731,24,6,2,0,Married,11,502.3428123,0,24682.14062
191980,18,1,2,0,Married,7,502.3279723,0,24727.39862
173338,41,21,4,1,Married,1,502.2764181,0,24597.82091
148158,24,5,2,1,Married,6,502.240405,0,24795.02025
109487,19,2,1,0,Married,14,502.1504835,0,24612.52418
148649,20,1,3,1,Single,15,502.1421869,0,24822.10935
122093,54,37,1,1,Single,5,502.1356528,0,24859.78264
162680,32,12,1,0,Single,10,502.0650609,0,24603.25305
181140,25,8,1,1,Single,9,501.9949382,0,24654.74691
144536,25,7,3,0,Single,15,501.9788486,0,24776.94243
147971,41,23,3,0,Single,8,501.5088854,0,24782.44427
169063,63,46,4,1,Single,2,501.3705536,0,24547.52768
176266,18,0,1,1,Single,9,501.3537223,0,24547.68612
159876,34,15,2,0,Single,7,501.3198275,0,24593.99138
176246,39,18,3,0,Single,6,501.2964869,0,24810.82435
156144,20,1,3,0,Married,13,501.2273032,0,24580.36516
164720,53,35,3,0,Married,5,501.2102467,0,24847.51234
106220,30,12,2,1,Single,2,501.1905383,0,24696.52692
175647,16,0,2,1,Married,13,501.1084558,0,24514.42279
174727,37,18,4,0,Married,5,500.9940391,0,24503.70196
181623,21,4,2,0,Single,13,500.89131,0,24620.5655
186109,54,35,3,1,Single,3,500.8659766,0,24627.29883
182938,47,29,2,0,Single,8,500.8359073,0,24748.79537
195026,21,2,2,1,Married,9,500.8230195,0,24597.15098
143836,22,5,2,1,Single,15,500.6980582,0,24821.90291
163648,38,19,2,0,Single,7,500.6701502,0,24535.50751
170703,22,5,4,1,Married,9,500.5121407,0,24612.60704
162343,52,34,3,0,Single,7,500.4497483,0,24561.48742
148213,51,31,2,0,Single,10,500.4022292,0,24697.11146
195198,53,33,3,0,Single,5,500.3690353,0,24532.45177
165493,22,5,3,0,Married,2,500.339043,0,24705.95215
180162,57,40,4,1,Single,9,500.2550126,0,24698.75063
185378,18,0,1,1,Single,8,500.2238116,0,24727.19058
180410,44,24,4,1,Married,5,500.1520161,0,24698.60081
186614,69,52,3,0,Single,1,500.0884252,0,24539.42126
135690,53,32,3,0,Single,14,500.0798791,0,24796.99396
131180,23,6,4,0,Single,13,500.059073,0,24669.95365
180133,23,4,2,1,Married,8,500.0157464,0,24539.78732
123531,38,19,4,1,Single,4,499.9388563,0,24458.94282
134594,37,18,3,0,Married,1,499.8944309,0,24643.72155
125569,26,9,2,1,Single,6,499.890252,0,24705.5126
153049,17,0,3,0,Married,11,499.8436639,0,24488.1832
195610,17,0,2,0,Married,12,499.7639256,0,24610.19628
129054,34,14,4,0,Single,9,499.7077501,0,24411.38751
190507,60,39,4,0,Married,5,499.5409298,0,24582.04649
154000,21,4,4,0,Married,14,499.3441883,0,24578.20942
146987,24,5,2,1,Married,6,499.1907587,0,24554.53794
123961,16,0,3,1,Single,11,499.1825389,0,24472.12695
156049,25,8,3,1,Single,13,499.159061,0,24527.95305
148155,66,49,1,1,Married,5,499.0903996,0,24390.51998
199603,29,11,4,1,Single,6,499.0814058,0,24657.07029
122133,44,26,3,1,Married,4,499.0778914,0,24495.89457
177116,24,7,3,0,Married,6,499.0346116,0,24699.73058
177073,20,1,3,0,Single,14,499.032731,0,24718.63655
124558,67,49,2,0,Married,1,499.0143263,0,24703.71632
103861,35,17,1,0,Single,8,499.0115671,0,24583.57836
106081,18,1,4,1,Married,9,498.9931769,0,24479.65885
172624,45,28,1,0,Single,10,498.8552508,0,24362.76254
148144,38,21,3,0,Single,9,498.819096,0,24446.9548
163909,18,0,3,0,Married,9,498.7428318,0,24588.14159
174836,55,37,3,0,Single,9,498.7307055,0,24358.53528
185290,33,12,2,1,Single,7,498.6506277,0,24363.53139
132621,18,0,2,1,Married,9,498.6226712,0,24649.13356
158058,16,0,4,1,Single,7,498.5867323,0,24513.33662
104762,23,5,3,0,Married,14,498.5825402,0,24693.12701
109315,35,14,3,0,Married,0,498.4484834,0,24551.42417
107342,63,42,3,0,Single,3,498.3575125,0,24450.87563
105266,19,1,3,0,Single,14,498.2880731,0,24542.40366
116086,53,35,2,1,Single,7,498.2544249,0,24350.72125
163761,54,34,3,1,Married,5,498.1254997,0,24522.27499
168471,23,6,3,1,Married,9,498.0613531,0,24453.06766
121118,20,1,4,0,Married,14,497.9847456,0,24534.23728
125643,41,23,3,1,Married,2,497.9610354,0,24520.05177
119017,69,50,3,1,Single,2,497.8430728,0,24376.15364
139852,22,4,3,0,Married,13,497.7441376,0,24420.20688
126278,48,31,3,1,Single,2,497.7211086,0,24371.05543
116042,18,0,3,0,Single,14,497.6852173,0,24594.26087
150407,27,7,3,1,Single,5,497.6672225,0,24652.36113
146939,61,41,2,1,Single,4,497.5727228,0,24393.63614
134034,47,27,3,1,Single,4,497.5374821,0,24397.87411
145012,21,2,3,0,Married,15,497.4716531,0,24316.58266
155311,19,0,2,1,Married,12,497.3690476,0,24501.45238
122071,22,5,3,0,Married,11,497.3269336,0,24602.34668
122589,31,11,4,0,Single,6,497.3027208,0,24432.13604
183936,41,20,3,0,Single,7,497.2943847,0,24555.71924
138606,41,23,4,0,Single,9,497.2546463,0,24388.73232
150525,22,5,1,1,Married,14,497.2378044,0,24354.89022
167235,17,0,2,0,Married,13,497.1846427,0,24441.23214
140215,25,8,4,1,Married,5,497.1707541,0,24280.53771
126050,33,14,3,0,Single,8,497.0919139,0,24405.5957
130244,27,10,3,1,Single,3,496.9909239,0,24425.5462
111542,34,15,3,0,Single,10,496.9869339,0,24525.3467
172679,25,6,1,1,Married,1,496.9800239,0,24278.0012
142880,38,19,2,0,Single,10,496.9686527,0,24525.43264
157886,55,37,1,1,Single,5,496.9354782,0,24279.77391
144994,25,7,2,0,Married,6,496.8511596,0,24369.55798
135336,37,18,3,0,Single,10,496.808397,0,24353.41985
183785,20,1,3,0,Single,15,496.7315303,0,24360.57652
162109,24,6,1,0,Married,13,496.7009686,0,24434.04843
102337,41,20,1,0,Single,5,496.6251555,0,24603.25778
119743,20,3,2,1,Single,10,496.3034295,0,24553.17148
175141,56,35,3,0,Single,3,496.2508304,0,24411.54152
128569,26,8,4,0,Single,9,496.2432547,0,24415.16274
125994,38,19,2,1,Single,4,496.1258875,0,24568.29438
126387,47,28,3,0,Single,5,496.1250167,0,24308.25084
108976,20,2,2,1,Single,9,496.105301,0,24449.26505
101190,22,4,3,1,Single,15,496.1007866,0,24595.03933
136278,49,31,3,1,Single,1,496.0153048,0,24323.76524
144906,37,20,2,0,Single,12,496.0066722,0,24232.33361
131925,24,6,2,1,Single,14,495.9313333,0,24295.56667
108655,53,33,3,0,Single,0,495.8811039,0,24403.0552
175941,60,41,2,0,Single,7,495.8744707,0,24328.72354
139715,54,33,4,0,Single,7,495.8577099,0,24343.8855
122194,61,42,1,0,Single,12,495.8440724,0,24397.20362
157870,47,30,2,0,Married,1,495.8239471,0,24576.19736
109842,45,28,3,1,Single,8,495.786754,0,24247.3377
190425,67,49,3,1,Married,0,495.6786828,0,24271.93414
182273,40,20,2,0,Married,3,495.4931261,0,24214.65631
131251,48,29,3,1,Single,2,495.4474053,0,24414.37027
139932,39,19,3,0,Single,10,495.4356608,0,24298.78304
198863,41,23,3,0,Single,6,495.3473402,0,24425.36701
138741,23,4,3,0,Married,9,495.3208549,0,24286.04275
115130,37,18,2,1,Married,5,495.27612,0,24173.806
168185,16,0,2,1,Married,4,495.2585145,0,24365.92573
110599,22,5,1,0,Married,2,495.1954386,0,24202.77193
175429,21,2,4,1,Married,12,495.187766,0,24237.3883
121475,26,8,3,0,Married,3,495.1714825,0,24422.57413
128658,35,16,2,0,Married,5,495.1681692,0,24408.40846
123516,19,0,4,1,Married,6,495.0950612,0,24238.75306
126775,25,8,1,1,Single,10,495.0498383,0,24171.49192
181356,48,28,2,1,Single,2,494.9337793,0,24445.68897
189548,24,5,4,0,Married,11,494.8396278,0,24304.98139
130638,21,4,3,1,Single,14,494.7451375,0,24490.25688
187258,51,32,3,0,Married,4,494.7170351,0,24469.85176
195516,20,3,3,0,Single,11,494.7122485,0,24203.61243
100799,60,40,2,1,Married,1,494.682189,0,24469.10945
155044,20,1,3,1,Single,13,494.6590334,0,24315.95167
132427,43,23,2,1,Single,1,494.6508114,0,24516.54057
184343,44,23,1,0,Single,11,494.557812,0,24396.8906
149696,18,0,2,0,Single,11,494.5553381,0,24374.76691
104920,59,38,2,0,Single,12,494.465162,0,24321.2581
135709,67,48,3,0,Single,7,494.4420049,0,24202.10025
177793,31,11,3,0,Married,4,494.3033414,0,24189.16707
178418,43,25,4,1,Single,2,494.2415521,0,24203.0776
102683,40,20,2,1,Married,0,494.1563874,0,24135.81937
150113,38,20,1,0,Single,6,494.1024466,0,24503.12233
189640,62,44,3,1,Married,4,494.0244144,0,24481.22072
126728,68,48,2,0,Married,3,494.0108596,0,24252.54298
170272,24,6,1,1,Married,12,493.9555063,0,24330.77532
193964,20,1,3,1,Single,12,493.9541163,0,24250.70582
118084,50,29,3,1,Married,4,493.8233283,0,24298.16642
170986,20,2,1,0,Single,13,493.8180385,0,24445.90193
187317,22,5,2,1,Married,13,493.7547271,0,24331.73636
141248,22,5,2,1,Married,8,493.3039681,0,24177.19841
133005,24,5,1,1,Single,13,493.2976733,0,24454.88367
189365,45,26,1,0,Married,1,493.0585896,0,24363.92948
192465,55,37,2,1,Married,5,492.963983,0,24216.19915
147765,53,32,4,0,Single,12,492.9224979,0,24190.1249
152347,30,10,2,1,Single,8,492.7189607,0,24191.94804
117485,43,26,3,1,Single,2,492.5751319,0,24283.7566
198418,65,47,3,0,Married,5,492.5699465,0,24396.49733
165431,62,44,4,1,Married,2,492.556772,0,24305.8386
168366,21,4,3,1,Married,4,492.2762627,0,24278.81314
143895,39,19,3,1,Single,9,492.2734875,0,24312.67438
125080,18,0,3,1,Single,13,492.2584052,0,24124.92026
132925,49,30,4,0,Single,14,492.2416352,0,24305.08176
109070,36,19,3,0,Single,9,492.0101209,0,24293.50605
168567,32,14,2,0,Single,7,491.9689152,0,24121.44576
184812,49,30,2,0,Single,10,491.907308,0,24355.3654
137680,24,7,2,0,Married,15,491.8858119,0,24104.2906
194350,42,21,2,1,Single,1,491.8573176,0,24254.86588
112803,23,5,3,0,Single,14,491.6209559,0,24300.0478
190759,59,40,3,0,Married,5,491.5911903,0,24149.55952
128525,27,8,3,1,Single,7,491.5678067,0,24171.39034
184004,52,35,2,0,Single,9,491.5015654,0,24085.07827
133783,26,6,1,0,Single,6,491.4299422,0,24092.49711
106945,21,4,2,0,Married,8,491.2875129,0,24227.37565
102548,16,0,3,1,Single,6,491.1764037,0,24122.82019
120100,32,15,3,0,Single,10,491.1227067,0,24238.13533
195053,57,39,2,0,Single,9,491.049278,0,23953.4639
176062,41,23,2,0,Single,3,491.0277254,0,24329.38627
