"","gender","married","buy"
"S885","Male","Married","Buy"
"S886","Female","Married","Buy"
"S887","Female","Married","NotBuy"
"S888","Male","Single","Buy"
"S889","Male","Single","Buy"
"S890","Male","Married","NotBuy"
"S891","Male","Married","Buy"
"S892","Male","Married","NotBuy"
"S893","Male","Single","Buy"
"S894","Male","Married","Buy"
"S895","Male","Married","NotBuy"
"S896","Male","Married","Buy"
"S897","Male","Married","Buy"
"S898","Male","Married","Buy"
"S899","Male","Married","NotBuy"
"S900","Male","Married","Buy"
"S901","Female","Single","Buy"
"S902","Female","Single","Buy"
"S903","Male","Married","Buy"
"S904","Male","Married","Buy"
"S905","Male","Married","Buy"
"S906","Male","Married","NotBuy"
"S907","Male","Married","Buy"
"S908","Male","Single","NotBuy"
"S909","Male","Single","NotBuy"
"S910","Male","Single","Buy"
"S911","Male","Married","Buy"
"S912","Female","Married","Buy"
"S913","Male","Married","Buy"
"S914","Male","Married","Buy"
"S915","Male","Married","NotBuy"
"S916","Male","Married","Buy"
"S917","Male","Married","NotBuy"
"S918","Female","Married","Buy"
"S919","Female","Single","Buy"
"S920","Female","Single","NotBuy"
"S921","Male","Married","Buy"
"S922","Female","Married","NotBuy"
"S923","Female","Married","Buy"
"S924","Male","Married","NotBuy"
"S925","Female","Married","Buy"
"S926","Female","Single","Buy"
"S927","Female","Married","Buy"
"S928","Male","Single","Buy"
"S929","Male","Single","NotBuy"
"S930","Male","Married","Buy"
"S931","Male","Married","NotBuy"
"S932","Female","Married","NotBuy"
"S933","Male","Single","NotBuy"
"S934","Male","Married","NotBuy"
"S935","Female","Single","Buy"
"S936","Female","Married","Buy"
"S937","Female","Married","NotBuy"
"S938","Male","Single","NotBuy"
"S939","Female","Single","Buy"
"S940","Male","Married","Buy"
"S941","Male","Married","NotBuy"
"S942","Female","Married","Buy"
"S943","Male","Single","NotBuy"
"S944","Male","Single","Buy"
"S945","Male","Married","NotBuy"
"S946","Male","Married","NotBuy"
"S947","Male","Single","Buy"
"S948","Female","Married","Buy"
"S949","Female","Single","NotBuy"
"S950","Female","Married","Buy"
"S951","Male","Single","Buy"
"S952","Male","Single","NotBuy"
"S953","Male","Married","Buy"
"S954","Female","Married","NotBuy"
"S955","Male","Single","Buy"
"S956","Male","Married","NotBuy"
"S957","Female","Single","Buy"
"S958","Male","Married","Buy"
"S959","Male","Married","Buy"
"S960","Male","Single","Buy"
"S961","Male","Married","Buy"
"S962","Male","Single","NotBuy"
"S963","Male","Married","Buy"
"S964","Male","Married","Buy"
"S965","Male","Married","Buy"
"S966","Male","Married","NotBuy"
"S967","Male","Single","Buy"
"S968","Female","Married","NotBuy"
"S969","Female","Single","NotBuy"
"S970","Female","Married","Buy"
"S971","Female","Married","Buy"
"S972","Male","Married","Buy"
"S973","Male","Married","Buy"
"S974","Female","Married","NotBuy"
"S975","Male","Single","Buy"
"S976","Male","Married","NotBuy"
"S977","Male","Single","Buy"
"S978","Male","Single","NotBuy"
"S979","Male","Married","Buy"
"S980","Female","Married","NotBuy"
"S981","Male","Married","NotBuy"
"S982","Male","Married","Buy"
"S983","Female","Single","Buy"
"S984","Male","Married","Buy"
"S985","Male","Married","NotBuy"
"S986","Male","Married","Buy"
"S987","Male","Single","Buy"
"S988","Male","Married","NotBuy"
"S989","Female","Married","NotBuy"
"S990","Male","Married","Buy"
"S991","Male","Single","Buy"
"S992","Male","Married","NotBuy"
"S993","Male","Married","Buy"
"S994","Male","Married","Buy"
"S995","Male","Married","Buy"
"S996","Female","Married","Buy"
"S997","Male","Single","Buy"
"S998","Male","Married","NotBuy"
"S999","Male","Married","Buy"
"S1000","Male","Single","Buy"
