Merchant_Id,Annual_Sales,Merchant_Location,Zone,No_of_helpers,Daily_OPEN_hours,Years_Open,Owner's_Age,Owner's_Education,Cashier_Sales_Person_Age,Merchant_Type,Shopping_Complex_Or_Standalone
5984,82.51,Boston,W,22,11,3,42,No education,24,Franchise,Complex
8624,485,NJ City,W,2,9,12,26,Graduation,32,Franchise,Complex
5092,43.21,Boston,N,22,13,3,25,High School,25,Franchise,Complex
3613,494.83,NJ City,N,4,11,2,41,High School,20,Patnership,Standalone
2970,219,NJ City,S,3,22,17,37,High School,27,Patnership,Complex
1648,7.18,NJ City,N,1,18,3,43,High School,35,Franchise,Complex
158,188,NJ City,S,3,24,17,26,High School,35,Patnership,Complex
4236,216,NJ City,W,2,21,9,74,High School,21,Franchise,Complex
2656,80.92,NJ City,W,21,12,2,59,High School,32,Franchise,Complex
8975,9.66,NJ City,N,6,19,1,62,No education,32,Owner,Standalone
8119,472,NJ City,E,1,20,5,54,Graduation,20,Owner,Standalone
457,10.78,NJ City,N,4,18,2,40,High School,26,Patnership,Standalone
1090,173,NJ City,S,3,24,6,75,High School,26,Patnership,Complex
5370,458,Boston,S,2,24,10,27,Graduation,33,Patnership,Complex
5631,476,Boston,E,3,18,23,63,Graduation,28,Owner,Standalone
4872,194,NJ City,W,2,10,22,82,High School,34,Franchise,Complex
7793,16.82,Boston,N,24,17,3,28,No education,30,Patnership,Standalone
4130,166,NJ City,S,1,9,8,73,High School,35,Patnership,Complex
3158,293,NJ City,S,1,19,23,43,High School,35,Patnership,Complex
3531,274,NJ City,E,3,15,7,81,High School,25,Owner,Standalone
3794,408.87,NJ City,S,1,10,1,66,No education,20,Patnership,Complex
8137,423,NJ City,N,1,13,19,59,Graduation,29,Patnership,Standalone
4835,338.28,NJ City,E,15,22,4,51,No education,30,Owner,Standalone
1137,103,NJ City,N,2,22,9,57,High School,23,Patnership,Standalone
85,157,Boston,N,2,18,19,56,High School,22,Patnership,Standalone
5785,23.05,Boston,N,4,18,3,29,High School,23,Patnership,Standalone
3738,403.17,NJ City,S,5,9,4,63,Graduation,27,Patnership,Complex
3129,27.59,NJ City,N,12,23,4,75,Graduation,31,Patnership,Standalone
2304,269,NJ City,W,3,21,7,55,High School,28,Franchise,Complex
7953,289.83,Boston,N,1,17,3,81,Graduation,26,Patnership,Standalone
676,151,NJ City,W,2,14,17,67,High School,22,Franchise,Complex
5426,433,Boston,S,3,23,8,39,Graduation,27,Patnership,Complex
4011,106.89,NJ City,E,17,15,1,49,Graduation,18,Owner,Standalone
8338,396,NJ City,S,2,12,7,66,Graduation,31,Patnership,Complex
5849,154.13,Boston,N,9,8,4,33,No education,35,Patnership,Standalone
3896,107,NJ City,W,3,19,17,66,High School,29,Franchise,Complex
549,7.83,NJ City,N,22,9,2,61,Graduation,26,Patnership,Standalone
3545,28.33,NJ City,N,10,19,1,34,No education,28,Patnership,Standalone
9349,40.49,NJ City,N,5,22,4,47,High School,18,Patnership,Standalone
1629,84.46,NJ City,N,8,20,3,75,Graduation,21,Patnership,Standalone
7826,365,Boston,S,3,18,12,56,Graduation,34,Patnership,Complex
3751,497,NJ City,E,3,18,5,47,Graduation,19,Owner,Standalone
3163,130.21,NJ City,E,7,19,2,55,High School,25,Owner,Standalone
4927,190,NJ City,E,3,22,12,66,High School,21,Owner,Standalone
3683,130,NJ City,E,3,11,6,25,High School,35,Owner,Standalone
1125,117.97,NJ City,N,2,17,3,28,Graduation,34,Patnership,Standalone
4587,169,NJ City,E,3,20,21,65,High School,30,Owner,Standalone
4740,281,NJ City,W,3,13,13,67,High School,23,Franchise,Complex
4518,325.85,NJ City,S,2,8,3,80,Graduation,33,Patnership,Complex
5382,374,Boston,S,3,8,14,28,Graduation,27,Patnership,Complex
2578,293,NJ City,S,3,18,17,67,High School,20,Patnership,Complex
9175,107.75,NJ City,E,17,24,3,56,High School,23,Owner,Standalone
9340,125.61,NJ City,W,19,21,3,28,High School,31,Franchise,Complex
4774,278,NJ City,S,1,9,19,77,High School,28,Patnership,Complex
9627,264.21,NJ City,E,2,12,3,42,Graduation,24,Owner,Standalone
9579,15.56,NJ City,N,16,17,1,39,Graduation,26,Owner,Standalone
5569,498.03,Boston,N,23,12,1,59,High School,25,Patnership,Standalone
6510,85.6,Boston,S,9,13,2,44,Graduation,34,Patnership,Complex
1460,16.45,NJ City,N,11,17,4,41,No education,20,Franchise,Complex
9186,62.28,NJ City,N,7,9,3,60,Graduation,22,Patnership,Complex
9291,421,NJ City,E,2,12,22,27,Graduation,28,Owner,Standalone
4044,5.62,NJ City,N,4,9,1,84,Graduation,21,Franchise,Complex
1017,137,NJ City,N,3,8,14,63,High School,23,Patnership,Standalone
285,123,NJ City,N,2,10,22,50,High School,19,Patnership,Standalone
7263,103.68,Boston,E,4,15,1,36,Graduation,24,Owner,Standalone
3165,450,NJ City,N,2,23,5,61,Graduation,20,Patnership,Standalone
2807,146,NJ City,E,1,24,21,74,High School,18,Owner,Standalone
7106,43.31,Boston,N,17,22,4,63,No education,19,Patnership,Complex
7485,81.21,Boston,N,6,12,2,44,Graduation,18,Patnership,Standalone
6670,360,Boston,S,2,23,10,68,Graduation,23,Patnership,Complex
9547,476,NJ City,E,3,11,25,63,Graduation,27,Owner,Standalone
9823,479,NJ City,E,2,12,7,40,Graduation,29,Owner,Standalone
6632,115.53,Boston,W,21,24,2,30,No education,29,Franchise,Complex
5598,384,Boston,S,1,21,9,84,Graduation,28,Patnership,Complex
6483,42.54,Boston,N,9,17,3,55,Graduation,31,Owner,Standalone
3677,233,NJ City,N,2,23,18,43,High School,19,Patnership,Standalone
2187,222,NJ City,E,3,17,19,51,High School,19,Owner,Standalone
5227,482,Boston,E,3,17,18,26,Graduation,29,Owner,Standalone
2897,1.1,NJ City,W,18,15,3,49,No education,33,Patnership,Standalone
4067,62.16,NJ City,N,21,16,3,39,No education,33,Owner,Standalone
359,85.73,NJ City,E,6,15,2,66,No education,33,Owner,Standalone
8126,415,NJ City,S,1,16,21,27,Graduation,28,Patnership,Complex
7558,476,Boston,S,3,18,13,43,Graduation,19,Patnership,Complex
6918,488,Boston,S,3,12,17,25,Graduation,32,Patnership,Complex
3257,190,NJ City,N,3,24,13,49,High School,21,Patnership,Standalone
3021,434.46,NJ City,N,16,17,4,25,Graduation,29,Patnership,Standalone
8288,377,NJ City,W,1,9,9,60,Graduation,19,Franchise,Complex
6017,357,Boston,N,2,23,6,85,Graduation,19,Patnership,Standalone
4191,395,NJ City,E,2,9,5,61,Graduation,21,Owner,Standalone
2209,244,NJ City,N,2,23,23,82,High School,28,Patnership,Standalone
7143,355.1,Boston,E,10,15,4,81,Graduation,31,Owner,Standalone
20,159.61,NY City,W,12,22,1,84,No education,34,Franchise,Complex
1779,165,NJ City,E,2,10,10,32,High School,35,Owner,Standalone
1914,114,NJ City,S,2,20,20,58,High School,27,Patnership,Complex
9309,385.03,NJ City,N,19,23,3,79,Graduation,35,Patnership,Standalone
8557,452,NJ City,N,2,14,12,34,Graduation,31,Patnership,Standalone
364,39.48,NJ City,N,5,15,2,79,High School,34,Franchise,Complex
7404,364,Boston,W,2,16,5,68,Graduation,25,Franchise,Complex
2573,78.8,NJ City,N,24,23,2,37,No education,29,Patnership,Standalone
6126,352,Boston,S,2,20,15,84,Graduation,34,Patnership,Complex
8078,262.61,NJ City,S,1,13,3,46,No education,34,Patnership,Complex
8072,429,NJ City,W,3,24,7,54,Graduation,24,Franchise,Complex
7028,472,Boston,W,3,18,8,41,Graduation,29,Franchise,Complex
9436,428.44,NJ City,W,15,12,2,44,High School,31,Franchise,Complex
3748,34.58,NJ City,N,12,19,4,68,High School,27,Franchise,Complex
9834,429,NJ City,S,2,21,25,63,Graduation,26,Patnership,Complex
3885,100,NJ City,N,3,13,14,41,High School,21,Patnership,Standalone
1978,146,NJ City,S,1,8,17,65,High School,23,Patnership,Complex
4618,53.57,NJ City,S,22,19,4,40,High School,21,Patnership,Complex
5396,383,Boston,W,3,20,17,34,Graduation,30,Franchise,Complex
7484,355,Boston,W,1,21,9,36,Graduation,20,Franchise,Complex
1768,30.57,NJ City,N,22,14,2,53,High School,26,Franchise,Complex
2406,258,NJ City,S,2,15,24,25,High School,24,Patnership,Complex
5808,399,Boston,W,2,11,21,44,Graduation,22,Franchise,Complex
7513,357,Boston,N,2,24,17,59,Graduation,28,Patnership,Standalone
4506,278.48,NJ City,S,17,18,2,58,Graduation,19,Patnership,Complex
8559,372,NJ City,E,1,24,20,80,Graduation,21,Owner,Standalone
8793,440,NJ City,N,2,12,25,77,Graduation,27,Patnership,Standalone
3194,8.55,NJ City,N,4,23,1,33,No education,24,Patnership,Complex
9170,440.21,NJ City,S,1,9,2,49,No education,28,Patnership,Complex
8187,443,NJ City,E,3,15,12,44,Graduation,19,Owner,Standalone
7960,102.2,Boston,W,6,11,3,79,High School,20,Franchise,Complex
5042,357,Boston,S,1,13,18,39,Graduation,21,Patnership,Complex
8294,458,NJ City,S,3,9,14,60,Graduation,31,Patnership,Complex
5562,351,Boston,S,2,15,23,52,Graduation,21,Patnership,Complex
1209,10.92,NJ City,N,12,20,2,78,Graduation,29,Patnership,Standalone
8750,489,NJ City,S,2,19,22,38,Graduation,28,Patnership,Complex
5650,449,Boston,S,1,21,14,31,Graduation,18,Patnership,Complex
2124,208,NJ City,W,1,24,16,71,High School,20,Franchise,Complex
8591,13.37,NJ City,N,12,20,2,37,No education,18,Owner,Standalone
6288,430,Boston,W,3,17,9,39,Graduation,27,Franchise,Complex
205,115,NJ City,N,3,20,7,40,High School,31,Patnership,Standalone
7346,368,Boston,S,2,12,6,66,Graduation,24,Patnership,Complex
5686,392,Boston,S,1,18,24,54,Graduation,21,Patnership,Complex
4198,2.71,NJ City,S,8,12,1,53,High School,27,Patnership,Complex
5331,117.9,Boston,E,11,13,3,80,Graduation,23,Owner,Standalone
1405,5.33,NJ City,N,11,20,3,25,High School,26,Patnership,Standalone
2413,143,NJ City,N,2,8,11,42,High School,25,Patnership,Standalone
8700,46.69,NJ City,N,9,19,1,26,Graduation,18,Franchise,Complex
3968,288,NJ City,W,1,22,11,30,High School,29,Franchise,Complex
976,120,NJ City,W,2,19,9,51,High School,30,Franchise,Complex
6815,87.33,Boston,E,12,15,4,85,No education,24,Owner,Standalone
6332,384,Boston,W,1,15,17,42,Graduation,19,Franchise,Complex
5634,481,Boston,S,2,24,6,53,Graduation,26,Patnership,Complex
2536,113.42,NJ City,W,1,9,2,60,High School,32,Franchise,Complex
5654,368,Boston,S,2,9,7,73,Graduation,24,Patnership,Complex
7517,436,Boston,N,1,9,22,41,Graduation,25,Patnership,Standalone
7872,490,Boston,W,1,18,14,54,Graduation,26,Franchise,Complex
2492,244,NJ City,W,3,18,15,83,High School,29,Franchise,Complex
9355,383,NJ City,E,2,9,6,48,Graduation,35,Owner,Standalone
9967,377,NJ City,E,3,9,21,75,Graduation,25,Owner,Standalone
4177,42.12,NJ City,N,25,24,4,51,High School,23,Patnership,Standalone
3580,156,NJ City,W,2,11,11,27,High School,28,Franchise,Complex
687,137,NJ City,E,1,22,14,77,High School,26,Owner,Standalone
2823,238,NJ City,E,1,21,25,40,High School,21,Owner,Standalone
358,112,NJ City,S,3,9,11,52,High School,18,Patnership,Complex
4761,21.52,NJ City,N,19,17,1,46,Graduation,25,Patnership,Standalone
3825,173,NJ City,N,2,15,24,72,High School,25,Patnership,Standalone
6737,474.49,Boston,N,16,24,1,84,No education,27,Patnership,Standalone
6417,359,Boston,N,3,18,25,29,Graduation,31,Patnership,Standalone
4483,292,NJ City,E,3,16,12,83,High School,23,Owner,Standalone
4909,158,NJ City,N,1,19,23,77,High School,26,Patnership,Standalone
128,354.2,NJ City,W,24,21,2,74,No education,20,Franchise,Complex
5334,440,Boston,S,1,19,7,51,Graduation,27,Patnership,Complex
7667,354,Boston,E,3,21,18,67,Graduation,22,Owner,Standalone
7746,406,Boston,S,2,17,13,47,Graduation,23,Patnership,Complex
7866,465,Boston,S,2,12,11,67,Graduation,22,Patnership,Complex
6542,71.68,Boston,N,19,15,3,39,No education,21,Patnership,Complex
4602,43.09,NJ City,N,13,22,1,73,Graduation,19,Patnership,Complex
2185,75.91,NJ City,N,25,11,2,51,High School,26,Patnership,Standalone
190,262,NJ City,S,1,16,13,27,High School,24,Patnership,Complex
8733,90.31,NJ City,N,2,16,4,54,Graduation,20,Patnership,Standalone
818,285.31,NJ City,S,23,15,2,58,No education,35,Patnership,Complex
1585,154,NJ City,N,3,12,7,34,High School,28,Patnership,Standalone
3288,106.63,NJ City,W,22,14,1,42,Graduation,20,Franchise,Complex
1104,107,NJ City,W,1,12,20,45,High School,18,Franchise,Complex
9666,122.48,NJ City,S,25,20,2,62,Graduation,33,Patnership,Complex
4751,267,NJ City,E,2,23,19,40,High School,18,Owner,Standalone
6463,402,Boston,E,2,19,21,44,Graduation,20,Owner,Standalone
2302,295,NJ City,S,3,15,11,59,High School,22,Patnership,Complex
5865,435,Boston,N,2,15,13,74,Graduation,34,Patnership,Standalone
8262,413,NJ City,S,3,19,16,83,Graduation,23,Patnership,Complex
1134,449.74,NJ City,S,16,15,2,47,Graduation,21,Patnership,Complex
4667,115,NJ City,E,3,18,20,25,High School,32,Owner,Standalone
384,50.19,NJ City,W,12,15,3,54,Graduation,23,Franchise,Complex
8098,437,NJ City,S,2,22,23,38,Graduation,35,Patnership,Complex
9497,57.78,NJ City,N,18,22,4,51,No education,28,Patnership,Standalone
4604,36.75,NJ City,N,6,12,1,76,No education,27,Franchise,Complex
762,295.1,NJ City,S,15,21,1,26,Graduation,30,Patnership,Complex
1893,176,NJ City,N,1,12,7,27,High School,23,Patnership,Standalone
2244,197,NJ City,W,2,22,20,59,High School,21,Franchise,Complex
3916,53.69,NJ City,W,6,18,2,65,High School,18,Franchise,Complex
9730,495.28,NJ City,S,22,23,4,35,High School,29,Patnership,Complex
3077,195,NJ City,N,1,21,12,61,High School,24,Patnership,Standalone
4159,166,NJ City,E,2,18,12,35,High School,22,Owner,Standalone
2202,258,NJ City,S,1,17,23,55,High School,34,Patnership,Complex
8504,19.8,NJ City,N,4,23,3,60,No education,19,Franchise,Complex
8349,421,NJ City,N,3,15,19,63,Graduation,22,Patnership,Standalone
3551,310,NJ City,E,1,22,13,59,High School,23,Owner,Standalone
804,199,NJ City,W,3,21,6,49,High School,21,Franchise,Complex
930,214,NJ City,S,1,8,21,45,High School,32,Patnership,Complex
5310,406,Boston,S,3,10,23,38,Graduation,19,Patnership,Complex
9078,380,NJ City,S,2,20,8,51,Graduation,28,Patnership,Complex
5270,435,Boston,S,1,21,21,41,Graduation,26,Patnership,Complex
6813,84.8,Boston,N,14,13,1,62,Graduation,31,Patnership,Standalone
4403,276,NJ City,E,3,17,20,26,High School,26,Owner,Standalone
6118,405,Boston,S,3,10,14,29,Graduation,22,Patnership,Complex
9840,463,NJ City,W,1,20,18,28,Graduation,23,Franchise,Complex
900,38.64,NJ City,N,7,24,3,26,Graduation,25,Franchise,Complex
8895,429,NJ City,E,1,22,9,60,Graduation,32,Owner,Standalone
2419,488.54,NJ City,E,21,23,4,66,High School,26,Owner,Standalone
8275,475,NJ City,E,3,18,14,35,Graduation,21,Owner,Standalone
2547,290,NJ City,E,2,22,18,49,High School,21,Owner,Standalone
274,124.82,NJ City,S,21,20,3,34,High School,20,Patnership,Complex
99,115,NJ City,E,1,8,14,28,High School,30,Owner,Standalone
3105,112,NJ City,N,2,14,15,80,High School,26,Patnership,Standalone
9857,365,NJ City,N,3,23,23,63,Graduation,32,Patnership,Standalone
1094,20.49,NJ City,N,16,17,3,36,No education,34,Patnership,Complex
7686,406,Boston,S,1,24,10,39,Graduation,34,Patnership,Complex
9693,122.08,NJ City,N,25,9,3,47,Graduation,35,Patnership,Standalone
5174,70.54,Boston,N,19,11,3,57,No education,30,Patnership,Complex
8509,473,NJ City,N,1,23,6,67,Graduation,19,Patnership,Standalone
6469,27.71,Boston,N,2,21,1,78,High School,25,Patnership,Standalone
5657,89.54,Boston,N,18,10,1,62,No education,32,Patnership,Standalone
345,280,NJ City,N,3,20,12,45,High School,31,Patnership,Standalone
4012,241,NJ City,W,3,24,20,73,High School,34,Franchise,Complex
6783,367,Boston,E,2,8,5,67,Graduation,21,Owner,Standalone
5362,471,Boston,S,2,10,15,81,Graduation,31,Patnership,Complex
336,223,NJ City,W,3,13,10,76,High School,26,Franchise,Complex
8747,496,NJ City,E,1,21,9,85,Graduation,30,Owner,Standalone
6706,434,Boston,S,2,15,24,72,Graduation,21,Patnership,Complex
7721,396,Boston,N,2,22,17,28,Graduation,19,Patnership,Standalone
2989,89.42,NJ City,N,10,11,1,52,High School,25,Patnership,Standalone
3945,304,NJ City,N,1,19,11,65,High School,23,Patnership,Standalone
7534,494,Boston,S,1,15,9,49,Graduation,19,Patnership,Complex
7612,405,Boston,W,3,13,5,56,Graduation,32,Franchise,Complex
9562,387,NJ City,S,3,16,16,67,Graduation,30,Patnership,Complex
629,64.99,NJ City,N,5,22,1,70,No education,23,Patnership,Standalone
5729,447,Boston,N,2,17,7,36,Graduation,21,Patnership,Standalone
5745,379,Boston,N,2,22,21,60,Graduation,31,Patnership,Standalone
5672,477,Boston,W,2,9,16,50,Graduation,22,Franchise,Complex
7589,369,Boston,N,2,23,11,38,Graduation,25,Patnership,Standalone
7211,492,Boston,E,2,23,14,74,Graduation,28,Owner,Standalone
7698,499,Boston,S,1,13,12,49,Graduation,32,Patnership,Complex
5237,451,Boston,N,3,16,14,78,Graduation,35,Patnership,Standalone
9449,62.58,NJ City,N,7,20,3,32,No education,22,Patnership,Standalone
9994,461,NJ City,S,2,18,25,73,Graduation,30,Patnership,Complex
9,166,Maine,N,3,21,24,73,High School,27,Patnership,Standalone
4468,90.77,NJ City,W,4,12,2,60,High School,21,Franchise,Complex
392,220,NJ City,W,1,24,22,33,High School,18,Franchise,Complex
8304,184.78,NJ City,W,6,24,4,42,Graduation,25,Franchise,Complex
8815,57.86,NJ City,E,1,19,2,48,High School,32,Owner,Standalone
7813,253.67,Boston,N,22,20,3,76,High School,32,Patnership,Standalone
9238,354,NJ City,S,3,23,23,39,Graduation,26,Patnership,Complex
7919,56.64,Boston,E,4,19,3,49,No education,33,Owner,Standalone
6423,402,Boston,E,3,24,10,27,Graduation,35,Owner,Standalone
7907,123.36,Boston,E,9,8,4,53,No education,18,Owner,Standalone
9721,354,NJ City,N,3,9,20,35,Graduation,27,Patnership,Standalone
7095,440,Boston,E,3,15,21,66,Graduation,27,Owner,Standalone
4255,0.22,NJ City,N,20,13,3,46,High School,29,Owner,Standalone
188,426,NJ City,W,1,12,5,52,Graduation,27,Franchise,Complex
1866,451.84,NJ City,S,2,8,1,25,Graduation,24,Patnership,Complex
1162,19.46,NJ City,N,14,10,2,53,High School,35,Patnership,Complex
8832,78.53,NJ City,W,20,24,2,65,Graduation,26,Franchise,Complex
4623,210,NJ City,E,3,9,21,62,High School,22,Owner,Standalone
5198,380,Boston,S,3,23,19,38,Graduation,28,Patnership,Complex
4638,47.28,NJ City,N,18,8,1,44,Graduation,28,Patnership,Complex
4591,213,NJ City,E,2,23,24,28,High School,33,Owner,Standalone
4601,289,NJ City,N,2,19,6,59,High School,18,Patnership,Standalone
3388,3.47,NJ City,N,21,13,4,36,High School,23,Franchise,Complex
9919,374,NJ City,E,3,10,6,32,Graduation,32,Owner,Standalone
704,284,NJ City,W,2,24,18,34,High School,35,Franchise,Complex
2376,145,NJ City,W,1,21,12,52,High School,26,Franchise,Complex
5271,362,Boston,E,2,14,15,44,Graduation,19,Owner,Standalone
8961,440,NJ City,N,3,9,18,81,Graduation,19,Patnership,Standalone
4129,156,NJ City,N,2,11,23,67,High School,22,Patnership,Standalone
7840,104.82,Boston,W,9,23,2,72,High School,33,Franchise,Complex
2017,260,NJ City,N,3,17,6,79,High School,26,Patnership,Standalone
3446,237,NJ City,S,2,8,7,39,High School,28,Patnership,Complex
4227,281,NJ City,E,2,11,15,72,High School,24,Owner,Standalone
9699,359,NJ City,E,3,17,11,30,Graduation,20,Owner,Standalone
9930,447,NJ City,S,1,19,20,28,Graduation,31,Patnership,Complex
2928,120,NJ City,W,3,10,19,66,High School,28,Franchise,Complex
124,45.1,NJ City,N,24,16,3,45,High School,27,Franchise,Complex
27,249,Boston,E,2,10,10,84,High School,24,Owner,Standalone
8978,361,NJ City,S,2,10,12,46,Graduation,24,Patnership,Complex
3902,283.52,NJ City,S,5,19,2,26,No education,21,Patnership,Complex
7997,395,Boston,N,2,12,13,60,Graduation,22,Patnership,Standalone
6605,428.53,Boston,N,13,16,4,34,No education,33,Patnership,Standalone
9926,432,NJ City,S,3,20,8,30,Graduation,18,Patnership,Complex
4951,13.74,Boston,N,3,16,4,66,High School,34,Owner,Standalone
8584,52.95,NJ City,W,25,8,3,83,High School,22,Franchise,Complex
6768,390,Boston,W,3,19,18,80,Graduation,30,Franchise,Complex
4214,117,NJ City,S,1,17,19,72,High School,28,Patnership,Complex
7375,426,Boston,E,1,18,7,69,Graduation,22,Owner,Standalone
8281,66.26,NJ City,N,14,9,3,70,High School,32,Patnership,Standalone
3478,271,NJ City,S,3,22,9,67,High School,35,Patnership,Complex
2728,61.25,NJ City,N,15,21,2,72,High School,24,Franchise,Complex
2854,304,NJ City,S,2,8,15,76,High School,24,Patnership,Complex
5694,365,Boston,S,3,15,6,37,Graduation,22,Patnership,Complex
563,168,NJ City,E,2,21,23,68,High School,28,Owner,Standalone
559,127,NJ City,E,1,19,21,50,High School,29,Owner,Standalone
360,44.03,NJ City,N,23,19,3,72,Graduation,29,Franchise,Complex
9501,478,NJ City,N,1,11,21,64,Graduation,22,Patnership,Standalone
3470,269,NJ City,S,3,8,25,79,High School,22,Patnership,Complex
1797,427,NJ City,N,2,18,5,53,Graduation,28,Patnership,Standalone
2180,61.3,NJ City,N,25,12,4,72,No education,35,Franchise,Complex
653,137,NJ City,N,2,9,13,48,High School,25,Patnership,Standalone
6908,440.55,Boston,W,18,22,1,65,No education,21,Franchise,Complex
1071,391.36,NJ City,E,8,14,3,37,Graduation,26,Owner,Standalone
2190,24.33,NJ City,N,6,22,4,75,Graduation,30,Patnership,Complex
6034,362,Boston,S,3,19,24,25,Graduation,25,Patnership,Complex
6674,410,Boston,S,2,12,23,46,Graduation,31,Patnership,Complex
9022,378,NJ City,S,2,14,14,48,Graduation,22,Patnership,Complex
7386,410,Boston,S,1,23,8,84,Graduation,23,Patnership,Complex
7088,469,Boston,W,1,17,13,37,Graduation,30,Franchise,Complex
312,243,NJ City,W,2,16,13,59,High School,22,Franchise,Complex
3416,252,NJ City,W,2,8,17,43,High School,28,Franchise,Complex
3368,276,NJ City,W,1,21,8,80,High School,22,Franchise,Complex
6627,498,Boston,E,1,10,8,76,Graduation,35,Owner,Standalone
805,132,NJ City,N,1,16,23,58,High School,20,Patnership,Standalone
8356,492,NJ City,W,3,15,20,43,Graduation,21,Franchise,Complex
8694,298.9,NJ City,S,6,13,3,28,Graduation,21,Patnership,Complex
1958,68.72,NJ City,N,2,17,3,31,No education,35,Patnership,Complex
198,126,NJ City,S,1,11,25,31,High School,19,Patnership,Complex
7678,7.57,Boston,N,9,12,3,72,High School,22,Patnership,Complex
7050,371,Boston,S,1,13,13,67,Graduation,35,Patnership,Complex
3530,124.12,NJ City,S,11,24,4,69,No education,22,Patnership,Complex
2993,162,NJ City,N,3,16,11,28,High School,20,Patnership,Standalone
9689,389,NJ City,N,3,8,24,55,Graduation,30,Patnership,Standalone
6633,416,Boston,N,3,24,17,74,Graduation,30,Patnership,Standalone
831,229,NJ City,E,3,8,14,61,High School,22,Owner,Standalone
9778,493,NJ City,S,3,10,11,81,Graduation,30,Patnership,Complex
9615,367,NJ City,E,1,13,23,62,Graduation,27,Owner,Standalone
3823,356.7,NJ City,E,1,8,3,35,High School,29,Owner,Standalone
8759,118.95,NJ City,E,11,21,2,72,No education,19,Owner,Standalone
6431,463.72,Boston,E,15,8,1,37,No education,19,Owner,Standalone
7378,407,Boston,S,2,9,7,49,Graduation,27,Patnership,Complex
1942,145,NJ City,S,3,13,8,52,High School,24,Patnership,Complex
8805,395,NJ City,N,3,21,13,84,Graduation,20,Patnership,Standalone
3678,150,NJ City,S,1,17,6,46,High School,23,Patnership,Complex
195,488.82,NJ City,E,13,20,3,80,Graduation,20,Owner,Standalone
950,184,NJ City,S,1,10,14,65,High School,27,Patnership,Complex
1504,305,NJ City,W,1,13,22,37,High School,24,Franchise,Complex
7893,387,Boston,N,1,15,18,29,Graduation,27,Patnership,Standalone
7964,80.63,Boston,W,12,11,3,71,No education,33,Franchise,Complex
9099,350,NJ City,E,3,15,20,51,Graduation,33,Owner,Standalone
2991,291,NJ City,E,2,15,19,58,High School,21,Owner,Standalone
2808,134.03,NJ City,W,17,16,3,46,Graduation,25,Franchise,Complex
7067,450,Boston,E,1,13,6,72,Graduation,31,Owner,Standalone
8448,469,NJ City,W,2,8,8,77,Graduation,21,Franchise,Complex
1427,146,NJ City,E,2,10,8,29,High School,28,Owner,Standalone
272,152,NJ City,W,1,19,17,51,High School,19,Franchise,Complex
5509,356,Boston,N,1,17,8,48,Graduation,21,Patnership,Standalone
527,403,NJ City,E,2,21,5,41,Graduation,22,Owner,Standalone
4336,268.01,NJ City,W,16,15,1,63,High School,29,Franchise,Complex
911,288,NJ City,E,1,13,15,85,High School,21,Owner,Standalone
1981,222,NJ City,N,1,11,22,64,High School,18,Patnership,Standalone
2476,279,NJ City,W,2,16,13,37,High School,27,Franchise,Complex
2565,157,NJ City,N,1,11,24,82,High School,32,Patnership,Standalone
5238,366,Boston,S,1,11,14,56,Graduation,34,Patnership,Complex
2653,197,NJ City,N,2,14,20,70,High School,35,Patnership,Standalone
6841,98.8,Boston,N,13,20,1,54,High School,20,Patnership,Standalone
2844,234,NJ City,W,3,17,7,67,High School,26,Franchise,Complex
9681,376.28,NJ City,N,18,11,1,66,Graduation,25,Patnership,Standalone
1203,120,NJ City,E,3,17,17,77,High School,23,Owner,Standalone
774,24.25,NJ City,N,10,11,1,33,Graduation,25,Patnership,Complex
1523,266,NJ City,E,2,8,25,58,High School,35,Owner,Standalone
8409,455,NJ City,N,3,18,12,39,Graduation,21,Patnership,Standalone
1342,297,NJ City,S,1,17,7,62,High School,30,Patnership,Complex
1087,219.05,NJ City,E,4,24,2,84,High School,32,Owner,Standalone
8279,430,NJ City,E,3,14,16,35,Graduation,28,Owner,Standalone
8434,18.34,NJ City,N,2,18,4,58,High School,18,Patnership,Complex
181,240,NJ City,N,2,12,24,59,High School,22,Patnership,Standalone
9219,59.06,NJ City,E,15,18,4,50,Graduation,31,Owner,Standalone
5867,397,Boston,E,1,24,6,49,Graduation,23,Owner,Standalone
8718,459,NJ City,S,2,23,22,34,Graduation,29,Patnership,Complex
367,196,NJ City,E,3,20,17,77,High School,25,Owner,Standalone
3282,197,NJ City,S,1,12,9,55,High School,22,Patnership,Complex
7162,351,Boston,S,3,18,14,66,Graduation,32,Patnership,Complex
2915,105,NJ City,E,1,21,21,74,High School,23,Owner,Standalone
1259,371.92,NJ City,E,13,14,2,57,No education,23,Owner,Standalone
1029,241,NJ City,N,1,15,8,83,High School,23,Patnership,Standalone
517,22.49,NJ City,N,3,15,3,77,High School,32,Patnership,Standalone
3149,266,NJ City,N,1,22,16,29,High School,29,Patnership,Standalone
5777,453,Boston,N,2,12,18,49,Graduation,20,Patnership,Standalone
2816,411.98,NJ City,W,25,20,3,48,No education,35,Franchise,Complex
2070,218,NJ City,S,1,16,13,35,High School,22,Patnership,Complex
8439,371,NJ City,E,2,8,5,33,Graduation,27,Owner,Standalone
1323,231,NJ City,E,2,22,17,60,High School,27,Owner,Standalone
6812,375.11,Boston,W,4,10,2,47,No education,23,Franchise,Complex
