"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"299","13","52","28","1","0","46.42","4","caught","2","v New Zealand","Hyderabad (Deccan)","12 Nov 2010"
"300","DNB","-","-","-","-","-","-","-","4","v New Zealand","Hyderabad (Deccan)","12 Nov 2010"
"301","61","162","129","8","0","47.28","4","caught","2","v New Zealand","Nagpur","20 Nov 2010"
"302","36","61","34","8","0","105.88","4","lbw","1","v South Africa","Centurion","16 Dec 2010"
"303","111*","327","241","13","1","46.05","5","not out","3","v South Africa","Centurion","16 Dec 2010"
"304","13","42","22","3","0","59.09","4","caught","1","v South Africa","Durban","26 Dec 2010"
"305","6","22","10","1","0","60.00","4","caught","3","v South Africa","Durban","26 Dec 2010"
"306","146","465","314","17","2","46.49","4","bowled","2","v South Africa","Cape Town","2 Jan 2011"
"307","14*","146","91","0","0","15.38","4","not out","4","v South Africa","Cape Town","2 Jan 2011"
"308","34","90","58","6","0","58.62","4","caught","2","v England","Lord's","21 Jul 2011"
"309","12","84","68","1","0","17.64","5","lbw","4","v England","Lord's","21 Jul 2011"
"310","16","33","34","3","0","47.05","4","caught","2","v England","Nottingham","29 Jul 2011"
"311","56","136","86","8","0","65.11","4","lbw","4","v England","Nottingham","29 Jul 2011"
"312","1","10","8","0","0","12.50","4","caught","1","v England","Birmingham","10 Aug 2011"
"313","40","92","60","8","0","66.66","4","run out","3","v England","Birmingham","10 Aug 2011"
"314","23","65","34","4","0","67.64","4","caught","2","v England","The Oval","18 Aug 2011"
"315","91","235","172","11","0","52.90","4","lbw","3","v England","The Oval","18 Aug 2011"
"316","7","25","18","1","0","38.88","4","lbw","2","v West Indies","Delhi","6 Nov 2011"
"317","76","200","148","10","0","51.35","4","lbw","4","v West Indies","Delhi","6 Nov 2011"
"318","38","74","71","5","0","53.52","4","caught","1","v West Indies","Kolkata","14 Nov 2011"
"319","94","219","153","8","2","61.43","4","caught","2","v West Indies","Mumbai","22 Nov 2011"
"320","3","6","7","0","0","42.85","4","caught","4","v West Indies","Mumbai","22 Nov 2011"
"321","73","151","98","8","1","74.48","4","bowled","2","v Australia","Melbourne","26 Dec 2011"
"322","32","73","46","4","0","69.56","4","caught","4","v Australia","Melbourne","26 Dec 2011"
"323","41","133","89","8","0","46.06","4","bowled","1","v Australia","Sydney","3 Jan 2012"
"324","80","213","141","9","0","56.73","4","caught","3","v Australia","Sydney","3 Jan 2012"
"325","15","46","25","3","0","60.00","4","lbw","1","v Australia","Perth","13 Jan 2012"
"326","8","22","16","1","0","50.00","4","lbw","3","v Australia","Perth","13 Jan 2012"
"327","25","94","69","3","0","36.23","4","caught","2","v Australia","Adelaide","24 Jan 2012"
"328","13","46","34","2","0","38.23","4","caught","4","v Australia","Adelaide","24 Jan 2012"
"329","19","86","62","2","0","30.64","4","bowled","1","v New Zealand","Hyderabad (Deccan)","23 Aug 2012"
"330","17","61","50","3","0","34.00","4","bowled","2","v New Zealand","Bengaluru","31 Aug 2012"
"331","27","78","34","5","0","79.41","4","bowled","4","v New Zealand","Bengaluru","31 Aug 2012"
"332","13","25","18","2","0","72.22","4","caught","1","v England","Ahmedabad","15 Nov 2012"
"333","DNB","-","-","-","-","-","-","-","4","v England","Ahmedabad","15 Nov 2012"
"334","8","14","12","1","0","66.66","4","bowled","1","v England","Mumbai","23 Nov 2012"
"335","8","28","19","2","0","42.10","4","lbw","3","v England","Mumbai","23 Nov 2012"
"336","76","202","155","13","0","49.03","4","caught","1","v England","Kolkata","5 Dec 2012"
"337","5","17","6","1","0","83.33","4","caught","3","v England","Kolkata","5 Dec 2012"
"338","2","25","13","0","0","15.38","4","bowled","2","v England","Nagpur","13 Dec 2012"
"339","81","257","159","7","0","50.94","4","bowled","2","v Australia","Chennai","22 Feb 2013"
"340","13*","10","10","0","2","130.00","4","not out","4","v Australia","Chennai","22 Feb 2013"
"341","7","32","15","1","0","46.66","4","caught","2","v Australia","Hyderabad (Deccan)","2 Mar 2013"
"342","37","125","81","5","0","45.67","4","caught","2","v Australia","Mohali","14 Mar 2013"
"343","21","71","23","2","0","91.30","4","run out","4","v Australia","Mohali","14 Mar 2013"
"344","32","99","53","5","0","60.37","4","lbw","2","v Australia","Delhi","22 Mar 2013"
"345","1","8","5","0","0","20.00","4","lbw","4","v Australia","Delhi","22 Mar 2013"
"346","10","41","24","2","0","41.66","4","lbw","2","v West Indies","Kolkata","6 Nov 2013"
"347","74","150","118","12","0","62.71","4","caught","2","v West Indies","Mumbai","14 Nov 2013"
